Feature,Gain,Importance
worth,0.000816806444857714,0.000816806444857714
buyer,0.000808910639540432,0.000808910639540432
download,0.000807337863992073,0.000807337863992073
basic,0.000802421249858236,0.000802421249858236
damage,0.000793618233817835,0.000793618233817835
touch,0.000793482771273949,0.000793482771273949
3,0.000792195237209548,0.000792195237209548
excelent,0.000790135811714805,0.000790135811714805
update,0.000784080307107961,0.000784080307107961
nokia,0.000778399615690178,0.000778399615690178
late,0.000760884348835984,0.000760884348835984
service,0.000756211544507431,0.000756211544507431
reception,0.00074520828907019,0.00074520828907019
piece,0.000739140193154986,0.000739140193154986
3g,0.000738701678016641,0.000738701678016641
apple,0.000724345646079321,0.000724345646079321
picture,0.000714990764165886,0.000714990764165886
headphone,0.00071329275849874,0.00071329275849874
rid,0.000711385726079109,0.000711385726079109
dream,0.00070772026846636,0.00070772026846636
ebay,0.000706918448278621,0.000706918448278621
cell,0.000704248213062871,0.000704248213062871
awful,0.000696720008818645,0.000696720008818645
provider,0.00069097175939538,0.00069097175939538
arrive,0.000690883567007959,0.000690883567007959
21st,0.000686717661575246,0.000686717661575246
disappointment,0.000684502951051983,0.000684502951051983
people,0.000682729791291877,0.000682729791291877
moto,0.000682123171470066,0.000682123171470066
flimsy,0.000679952484414371,0.000679952484414371
speaker,0.000678628303963002,0.000678628303963002
carry,0.000676764009157486,0.000676764009157486
worry,0.000668907307464571,0.000668907307464571
mine,0.00066135312978629,0.00066135312978629
support,0.000660886079357982,0.000660886079357982
language,0.000660621948764895,0.000660621948764895
quick,0.000658409352934823,0.000658409352934823
die,0.00065654744656101,0.00065654744656101
happen,0.000654988544883527,0.000654988544883527
compare,0.000652352170424105,0.000652352170424105
completely,0.000650465723414363,0.000650465723414363
lumia,0.000649274608445999,0.000649274608445999
34,0.000647077501847505,0.000647077501847505
absolutely,0.000642868243901715,0.000642868243901715
bite,0.000639446812073181,0.000639446812073181
daughter,0.000638813033450827,0.000638813033450827
suppose,0.000638130465401321,0.000638130465401321
headset,0.000632940575049084,0.000632940575049084
system,0.000632645859361511,0.000632645859361511
talk,0.000626720284981231,0.000626720284981231
cool,0.000625418892186274,0.000625418892186274
repair,0.000623289840518496,0.000623289840518496
carrier,0.000618813399157224,0.000618813399157224
device,0.000616654487287073,0.000616654487287073
randomly,0.000615936830479404,0.000615936830479404
0sii,0.000612881501149097,0.000612881501149097
unable,0.000611792488131804,0.000611792488131804
simple,0.000611149151694431,0.000611149151694431
sound,0.000598770354674664,0.000598770354674664
stick,0.00059595573740654,0.00059595573740654
learn,0.000592411756957943,0.000592411756957943
build,0.000590298051541269,0.000590298051541269
white,0.000578747333137485,0.000578747333137485
wife,0.000575663137545188,0.000575663137545188
exist,0.000575361405013422,0.000575361405013422
live,0.00056977534338791,0.00056977534338791
lie,0.000568369701595268,0.000568369701595268
ditch,0.000563949384573147,0.000563949384573147
cheap,0.000556629879646008,0.000556629879646008
replace,0.000552693573414169,0.000552693573414169
network,0.000551967424566091,0.000551967424566091
amazon,0.000546283896305748,0.000546283896305748
extra,0.000545885766217102,0.000545885766217102
leave,0.000544379407359573,0.000544379407359573
game,0.000544057973223535,0.000544057973223535
experience,0.000535224196472576,0.000535224196472576
feel,0.000532513472462873,0.000532513472462873
replacement,0.000526919931874061,0.000526919931874061
droids,0.000526679990414295,0.000526679990414295
guess,0.000524907115916221,0.000524907115916221
edge,0.000524221612952048,0.000524221612952048
market,0.000523941738208367,0.000523941738208367
improve,0.000511864196620819,0.000511864196620819
worthless,0.000510769066809732,0.000510769066809732
text,0.000510222794027104,0.000510222794027104
friend,0.000505957290252494,0.000505957290252494
4g,0.00050050073257086,0.00050050073257086
date,0.00049798435224718,0.00049798435224718
dunno,0.000497637546353258,0.000497637546353258
smooth,0.000497626595606614,0.000497626595606614
country,0.000493782206645282,0.000493782206645282
gift,0.000493444588941985,0.000493444588941985
recently,0.000490336045836532,0.000490336045836532
upgrade,0.000490196273881986,0.000490196273881986
nj,0.000487856665141008,0.000487856665141008
website,0.000486712374335254,0.000486712374335254
deal,0.000484022531916075,0.000484022531916075
husband,0.000480721207138541,0.000480721207138541
user,0.000478582736457451,0.000478582736457451
dual,0.000477704861375314,0.000477704861375314
sprint,0.00046959643010267,0.00046959643010267
gsm,0.000468467358803126,0.000468467358803126
s4,0.000466907911203703,0.000466907911203703
crappy,0.000464414715430916,0.000464414715430916
ad,0.000463283807446832,0.000463283807446832
os,0.000462733901924161,0.000462733901924161
pleasently,0.000462237192217602,0.000462237192217602
choice,0.000460515262361581,0.000460515262361581
application,0.000460483474552417,0.000460483474552417
cellphone,0.000460215568031066,0.000460215568031066
lose,0.000459360203610614,0.000459360203610614
cable,0.000457854491109563,0.000457854491109563
sea,0.000456122020011518,0.000456122020011518
suddenly,0.000455939297301558,0.000455939297301558
truelly,0.000455916463978594,0.000455916463978594
window,0.000454755848202116,0.000454755848202116
worker,0.000454097184786983,0.000454097184786983
vacation,0.000452679867180882,0.000452679867180882
hour,0.000451392937733718,0.000451392937733718
tmobile,0.000450232190918677,0.000450232190918677
change,0.000449590193806707,0.000449590193806707
shape,0.000448244371430307,0.000448244371430307
efficient,0.000447533664699426,0.000447533664699426
rest,0.000447350678309817,0.000447350678309817
birthday,0.000446432173030402,0.000446432173030402
internal,0.000444932790524628,0.000444932790524628
iii,0.00044383802298636,0.00044383802298636
delivery,0.000436312297910424,0.000436312297910424
horriable,0.000433819728712593,0.000433819728712593
amount,0.000431925161588611,0.000431925161588611
signal,0.000430536839614211,0.000430536839614211
crash,0.000429516136386437,0.000429516136386437
hope,0.000428210523059586,0.000428210523059586
whatsoever,0.000427958933671776,0.000427958933671776
